,Unnamed: 0,Comments,Sample,CsPbI,FAPbI,MAPbI,Merit
0,0,Batch: 20190621-JT,#0-D1-8-CsPbI0.39 FAPbI0.61 MAPbI0.0 ,0.390,0.610,0.000,132665.000
1,1,Batch: 20190621-JT,#1-C1-1-CsPbI0.89 FAPbI0.0 MAPbI0.11 ,0.890,0.000,0.110,481313.000
2,2,Batch: 20190620-JT,#2-B1-8-CsPbI0.63 FAPbI0.37 MAPbI0.0 ,0.630,0.370,0.000,302631.000
3,3,Batch: 20190620-JT,#3-A1-1-CsPbI0.91 FAPbI0.01 MAPbI0.08 ,0.910,0.010,0.080,482218.000
4,4,Batch: 20190621-JT,#4-D2-9-CsPbI0.35 FAPbI0.65 MAPbI0.0 ,0.350,0.650,0.000,209698.000
5,5,Batch: 20190621-JT,#5-C2-2-CsPbI0.88 FAPbI0.0 MAPbI0.12 ,0.880,0.000,0.120,404845.000
6,6,Batch: 20190620-JT,#6-B2-9-CsPbI0.37 FAPbI0.63 MAPbI0.0 ,0.370,0.630,0.000,207474.000
7,7,Batch: 20190620-JT,#7-A2-2-CsPbI0.89 FAPbI0.0 MAPbI0.11 ,0.890,0.000,0.110,482674.000
8,8,Batch: 20190621-JT,#8-D3-10-CsPbI0.34 FAPbI0.54 MAPbI0.12 ,0.340,0.540,0.120,416405.000
9,9,Batch: 20190621-JT,#9-C3-3-CsPbI0.84 FAPbI0.0 MAPbI0.16 ,0.840,0.000,0.160,293210.000
10,10,Batch: 20190620-JT,#10-B3-10-CsPbI0.35 FAPbI0.65 MAPbI0.0 ,0.350,0.650,0.000,316345.000
11,11,Batch: 20190620-JT,#11-A3-3-CsPbI0.87 FAPbI0.12 MAPbI0.01 ,0.870,0.120,0.010,224858.000
12,12,Batch: 20190621-JT,#12-D4-11-CsPbI0.3 FAPbI0.69 MAPbI0.01 ,0.300,0.690,0.010,190636.000
13,13,Batch: 20190621-JT,#13-C4-4-CsPbI0.83 FAPbI0.0 MAPbI0.17 ,0.830,0.000,0.170,374938.000
14,14,Batch: 20190620-JT,#14-B4-11-CsPbI0.34 FAPbI0.64 MAPbI0.02 ,0.340,0.640,0.020,343647.000
15,15,Batch: 20190620-JT,#15-A4-4-CsPbI0.84 FAPbI0.0 MAPbI0.16 ,0.840,0.000,0.160,456484.000
16,16,Batch: 20190621-JT,#16-D5-12-CsPbI0.28 FAPbI0.65 MAPbI0.07 ,0.280,0.650,0.070,370439.000
17,17,Batch: 20190621-JT,#17-C5-5-CsPbI0.81 FAPbI0.0 MAPbI0.19 ,0.810,0.000,0.190,376516.000
18,18,Batch: 20190620-JT,#18-B5-12-CsPbI0.3 FAPbI0.69 MAPbI0.01 ,0.300,0.690,0.010,342685.000
19,19,Batch: 20190620-JT,#19-A5-5-CsPbI0.83 FAPbI0.03 MAPbI0.14 ,0.830,0.030,0.140,199330.000
20,20,Batch: 20190621-JT,#20-D6-13-CsPbI0.16 FAPbI0.84 MAPbI0.0 ,0.160,0.840,0.000,57484.000
21,21,Batch: 20190621-JT,#21-C6-6-CsPbI0.8 FAPbI0.11 MAPbI0.09 ,0.800,0.110,0.090,228347.000
22,22,Batch: 20190620-JT,#22-B6-13-CsPbI0.23 FAPbI0.66 MAPbI0.11 ,0.230,0.660,0.110,299002.000
23,23,Batch: 20190620-JT,#23-A6-6-CsPbI0.81 FAPbI0.0 MAPbI0.19 ,0.810,0.000,0.190,463506.000
24,24,Batch: 20190621-JT,#24-D7-14-CsPbI0.13 FAPbI0.85 MAPbI0.02 ,0.130,0.850,0.020,98773.000
25,25,Batch: 20190621-JT,#25-C7-7-CsPbI0.63 FAPbI0.37 MAPbI0.0 ,0.630,0.370,0.000,287734.000
26,26,Batch: 20190620-JT,#26-B7-14-CsPbI0.16 FAPbI0.84 MAPbI0.0 ,0.160,0.840,0.000,286689.000
27,27,Batch: 20190620-JT,#27-A7-7-CsPbI0.78 FAPbI0.09 MAPbI0.13 ,0.780,0.090,0.130,234879.000
