,CsPbI,MAPbI,FAPbI,Total,Tolerance Factor
0,0.233,0.004,0.759,0.996,0.942
1,0.185,0.009,0.805,0.999,0.952
2,0.121,0.002,0.873,0.995,0.962
3,0.823,0.002,0.173,0.999,0.838
4,0.724,0.200,0.072,0.996,0.840
5,0.732,0.098,0.166,0.997,0.846
6,0.150,0.013,0.835,0.999,0.958
7,0.718,0.280,0.002,1.000,0.837
8,0.881,0.005,0.109,0.996,0.826
9,0.162,0.060,0.776,0.999,0.952
10,0.408,0.001,0.588,0.997,0.912
11,0.739,0.013,0.246,0.998,0.852
12,0.291,0.001,0.708,1.000,0.934
13,0.728,0.152,0.118,0.997,0.843
14,0.936,0.003,0.059,0.998,0.817
15,0.463,0.002,0.534,0.999,0.903
16,0.205,0.001,0.790,0.996,0.948
17,0.082,0.000,0.913,0.996,0.970
18,0.675,0.259,0.065,1.000,0.846
19,0.671,0.101,0.224,0.996,0.856
20,0.191,0.088,0.718,0.997,0.944
21,0.805,0.065,0.126,0.996,0.835
22,0.362,0.003,0.631,0.996,0.919
23,0.576,0.001,0.421,0.998,0.882
24,0.086,0.065,0.847,0.997,0.965
25,0.261,0.372,0.363,0.996,0.910
26,0.793,0.002,0.200,0.995,0.842
27,0.670,0.002,0.327,1.000,0.866
