Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
1.00,0.00,0.00,0.000,0.000,0.000
0.92,0.00,0.08,0.074,0.031,0.043
0.92,0.00,0.08,0.084,0.031,0.053
0.88,0.00,0.13,0.103,0.047,0.056
0.88,0.00,0.13,0.081,0.047,0.034
0.83,0.00,0.17,0.154,0.061,0.093
0.83,0.00,0.17,0.152,0.061,0.091
0.75,0.00,0.25,0.136,0.088,0.048
0.75,0.00,0.25,0.133,0.088,0.045
0.67,0.00,0.33,0.137,0.113,0.024
0.67,0.00,0.33,0.134,0.113,0.021
0.63,0.00,0.38,0.128,0.127,0.001
0.63,0.00,0.38,0.129,0.127,0.002
0.58,0.00,0.42,0.147,0.140,0.007
0.58,0.00,0.42,0.154,0.140,0.014
0.50,0.00,0.50,0.143,0.164,-0.021
0.50,0.00,0.50,0.163,0.164,-0.001
0.42,0.00,0.58,0.169,0.188,-0.019
0.42,0.00,0.58,0.176,0.188,-0.012
0.38,0.00,0.63,0.142,0.200,-0.058
0.38,0.00,0.63,0.137,0.200,-0.063
0.33,0.00,0.67,0.170,0.211,-0.041
0.33,0.00,0.67,0.166,0.211,-0.045
0.25,0.00,0.75,0.148,0.234,-0.086
0.25,0.00,0.75,0.143,0.234,-0.091
0.17,0.00,0.83,0.231,0.255,-0.024
0.17,0.00,0.83,0.225,0.255,-0.030
0.13,0.00,0.88,0.263,0.266,-0.003
0.13,0.00,0.88,0.258,0.266,-0.008
0.08,0.00,0.92,0.238,0.275,-0.037
0.08,0.00,0.92,0.233,0.275,-0.042
0.00,0.00,1.00,0.000,0.000,0.000
