Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
1,0,0,0,0,0
0.92,0,0.08,-0.107,0.015,-0.122
0.92,0,0.08,-0.106,0.015,-0.121
0.88,0,0.13,-0.087,0.019,-0.106
0.88,0,0.13,-0.106,0.019,-0.125
0.83,0,0.17,-0.045,0.023,-0.068
0.83,0,0.17,-0.043,0.023,-0.066
0.75,0,0.25,-0.081,0.029,-0.11
0.75,0,0.25,-0.078,0.029,-0.107
0.67,0,0.33,-0.098,0.033,-0.131
0.67,0,0.33,-0.093,0.033,-0.126
0.63,0,0.38,-0.145,0.034,-0.179
0.63,0,0.38,-0.141,0.034,-0.175
0.58,0,0.42,-0.106,0.035,-0.141
0.58,0,0.42,-0.089,0.035,-0.124
0.5,0,0.5,-0.128,0.036,-0.164
0.5,0,0.5,-0.096,0.036,-0.132
0.42,0,0.58,-0.12,0.035,-0.155
0.42,0,0.58,-0.099,0.035,-0.134
0.38,0,0.63,-0.156,0.034,-0.19
0.38,0,0.63,-0.146,0.034,-0.18
0.33,0,0.67,-0.137,0.033,-0.17
0.33,0,0.67,-0.125,0.033,-0.158
0.25,0,0.75,-0.177,0.029,-0.206
0.25,0,0.75,-0.164,0.029,-0.193
0.17,0,0.83,-0.112,0.023,-0.135
0.17,0,0.83,-0.098,0.023,-0.121
0.13,0,0.88,-0.089,0.019,-0.108
0.13,0,0.88,-0.073,0.019,-0.092
0.08,0,0.92,-0.123,0.015,-0.138
0.08,0,0.92,-0.106,0.015,-0.121
0,0,1,0,0,0
