Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
1.00,0.00,0.00,0.000,0.000,0.000
0.92,0.08,0.00,0.059,0.007,0.052
0.88,0.12,0.00,0.051,0.010,0.041
0.88,0.12,0.00,0.066,0.010,0.056
0.75,0.25,0.00,0.060,0.015,0.045
0.67,0.33,0.00,0.073,0.016,0.057
0.63,0.37,0.00,0.048,0.017,0.031
0.63,0.37,0.00,0.050,0.017,0.033
0.50,0.50,0.00,0.047,0.018,0.029
0.50,0.50,0.00,0.068,0.018,0.050
0.42,0.58,0.00,0.049,0.018,0.031
0.42,0.58,0.00,0.063,0.018,0.045
0.38,0.62,0.00,0.041,0.017,0.024
0.38,0.62,0.00,0.042,0.017,0.025
0.33,0.67,0.00,0.071,0.016,0.055
0.33,0.67,0.00,0.073,0.016,0.057
0.25,0.75,0.00,0.052,0.015,0.037
0.25,0.75,0.00,0.052,0.015,0.037
0.17,0.83,0.00,0.036,0.012,0.024
0.17,0.83,0.00,0.040,0.012,0.028
0.13,0.87,0.00,0.017,0.010,0.007
0.13,0.87,0.00,0.029,0.010,0.019
0.08,0.92,0.00,0.044,0.007,0.037
0.08,0.92,0.00,0.013,0.007,0.006
0.00,1.00,0.00,0.000,0.000,0.000
