Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
1.00,0.00,0.00,0.000,0.000,0.000
0.92,0.08,0.00,-0.095,0.015,-0.110
0.88,0.12,0.00,-0.100,0.019,-0.119
0.88,0.12,0.00,-0.084,0.019,-0.103
0.75,0.25,0.00,-0.078,0.029,-0.107
0.67,0.33,0.00,-0.056,0.033,-0.089
0.63,0.37,0.00,-0.078,0.034,-0.112
0.63,0.37,0.00,-0.075,0.034,-0.109
0.50,0.50,0.00,-0.066,0.036,-0.102
0.50,0.50,0.00,-0.045,0.036,-0.081
0.42,0.58,0.00,-0.055,0.035,-0.090
0.42,0.58,0.00,-0.041,0.035,-0.076
0.38,0.62,0.00,-0.060,0.034,-0.094
0.38,0.62,0.00,-0.058,0.034,-0.092
0.33,0.67,0.00,-0.025,0.033,-0.058
0.33,0.67,0.00,-0.023,0.033,-0.056
0.25,0.75,0.00,-0.036,0.029,-0.065
0.25,0.75,0.00,-0.035,0.029,-0.064
0.17,0.83,0.00,-0.044,0.023,-0.067
0.17,0.83,0.00,-0.040,0.023,-0.063
0.13,0.87,0.00,-0.058,0.019,-0.077
0.13,0.87,0.00,-0.046,0.019,-0.065
0.08,0.92,0.00,-0.027,0.015,-0.042
0.08,0.92,0.00,-0.058,0.015,-0.073
0.00,1.00,0.00,0.000,0.000,0.000
,,,,,
,,,,,
,,,,,
,,,,,
