Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
0.00,0.00,1.00,0.000,0.000,0.000
0.00,0.08,0.92,0.188,0.275,-0.087
0.00,0.08,0.92,0.146,0.275,-0.129
0.00,0.13,0.88,0.153,0.266,-0.113
0.00,0.13,0.88,0.112,0.266,-0.154
0.00,0.17,0.83,0.131,0.255,-0.124
0.00,0.17,0.83,0.096,0.255,-0.159
0.00,0.25,0.75,0.126,0.234,-0.108
0.00,0.25,0.75,0.094,0.234,-0.140
0.00,0.33,0.67,0.125,0.211,-0.086
0.00,0.33,0.67,0.107,0.211,-0.104
0.00,0.42,0.58,0.114,0.188,-0.074
0.00,0.42,0.58,0.066,0.188,-0.122
0.00,0.50,0.50,0.086,0.164,-0.078
0.00,0.50,0.50,0.088,0.164,-0.076
0.00,0.58,0.42,0.111,0.140,-0.029
0.00,0.58,0.42,0.047,0.140,-0.093
0.00,0.63,0.38,0.062,0.127,-0.065
0.00,0.63,0.38,0.055,0.127,-0.072
0.00,0.67,0.33,0.082,0.113,-0.031
0.00,0.67,0.33,0.061,0.113,-0.052
0.00,0.75,0.25,0.063,0.088,-0.025
0.00,0.75,0.25,0.054,0.088,-0.034
0.00,0.83,0.17,0.060,0.061,-0.001
0.00,0.83,0.17,0.051,0.061,-0.010
0.00,0.88,0.13,0.071,0.047,0.024
0.00,0.88,0.13,0.050,0.047,0.003
0.00,0.92,0.08,0.059,0.031,0.028
0.00,0.92,0.08,0.046,0.031,0.015
0.00,1.00,0.00,0.000,0.000,0.000
