Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
0.00,0.00,1.00,0.000,0.000,0.000
0.00,0.08,0.92,-0.172,0.015,-0.187
0.00,0.08,0.92,-0.137,0.015,-0.152
0.00,0.13,0.88,-0.193,0.019,-0.212
0.00,0.13,0.88,-0.161,0.019,-0.180
0.00,0.17,0.83,-0.201,0.023,-0.224
0.00,0.17,0.83,-0.167,0.023,-0.190
0.00,0.25,0.75,-0.180,0.029,-0.209
0.00,0.25,0.75,-0.148,0.029,-0.177
0.00,0.33,0.67,-0.143,0.033,-0.176
0.00,0.33,0.67,-0.125,0.033,-0.158
0.00,0.42,0.58,-0.138,0.035,-0.173
0.00,0.42,0.58,-0.136,0.035,-0.171
0.00,0.50,0.50,-0.138,0.036,-0.174
0.00,0.50,0.50,-0.094,0.036,-0.130
0.00,0.58,0.42,-0.087,0.035,-0.122
0.00,0.58,0.42,-0.115,0.035,-0.150
0.00,0.63,0.38,-0.113,0.034,-0.147
0.00,0.63,0.38,-0.106,0.034,-0.140
0.00,0.67,0.33,-0.089,0.033,-0.122
0.00,0.67,0.33,-0.080,0.033,-0.113
0.00,0.75,0.25,-0.080,0.029,-0.109
0.00,0.75,0.25,-0.067,0.029,-0.096
0.00,0.83,0.17,-0.057,0.023,-0.080
0.00,0.83,0.17,-0.049,0.023,-0.072
0.00,0.88,0.13,-0.032,0.019,-0.051
0.00,0.88,0.13,-0.040,0.019,-0.059
0.00,0.92,0.08,-0.031,0.015,-0.046
0.00,0.92,0.08,-0.035,0.015,-0.050
0.00,1.00,0.00,0.000,0.000,0.000
